Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 µF,C_0805_2012Metric,116.275,-61.65,0.0,top
C2,100 nF,C_0402_1005Metric,118.725,-56.7,180.0,top
C3,22 µF,C_0603_1608Metric,119.5,-61.375,180.0,top
C4,68 nF,C_0402_1005Metric,118.725,-55.75,0.0,top
C5,22 µF,C_0603_1608Metric,122.15,-60.5,90.0,top
D1,XL-1615RGBC,LED_0606_1432,112.44,-66.9,-90.0,top
D3,D_Schottky,D_SOD-323,116.175,-56.225,180.0,top
F1,Polyfuse_Small,R_0805_2012Metric,104.85,-59.15,-90.0,top
L1,4.7 uH,CKCS3010,119.675,-58.9,0.0,top
R1,200R,R_0603_1608Metric,110.45299,-66.2,-90.0,top
R3,620R,R_0603_1608Metric,114.4,-66.2,-90.0,top
U2,AP63205WU,TSOT-26,116.25,-58.925,270.0,top
